# r numerical_f exact_f
0.00631746 0.00627767 0.00627767
0.00636432 0.00632394 0.00632395
0.00641118 0.0063702 0.00637021
0.00645805 0.00641647 0.00641648
0.00650491 0.00646273 0.00646274
0.00655178 0.00650898 0.00650899
0.00659864 0.00655523 0.00655524
0.0066455 0.00660148 0.00660149
0.00669237 0.00664772 0.00664773
0.00673923 0.00669396 0.00669397
0.0067861 0.00674019 0.0067402
0.00683296 0.00678642 0.00678643
0.00687983 0.00683265 0.00683266
0.00692669 0.00687887 0.00687888
0.00697356 0.00692509 0.0069251
0.00702043 0.0069713 0.00697131
0.00706729 0.00701751 0.00701752
0.00711416 0.00706372 0.00706373
0.00716103 0.00710992 0.00710993
0.00720789 0.00715612 0.00715613
0.00725476 0.00720231 0.00720232
0.00730163 0.0072485 0.00724851
0.0073485 0.00729468 0.00729469
0.00739536 0.00734086 0.00734087
0.00744223 0.00738704 0.00738705
0.0074891 0.00743321 0.00743322
0.00753597 0.00747938 0.00747939
0.00758284 0.00752555 0.00752556
0.00762971 0.00757171 0.00757172
0.00767658 0.00761786 0.00761787
0.00772345 0.00766402 0.00766403
0.00777032 0.00771016 0.00771017
0.00781719 0.00775631 0.00775632
0.00786406 0.00780245 0.00780246
0.00791093 0.00784858 0.0078486
0.0079578 0.00789472 0.00789473
0.00800468 0.00794085 0.00794086
0.00805155 0.00798697 0.00798698
0.00809842 0.00803309 0.0080331
0.00814529 0.00807921 0.00807922
0.00819217 0.00812532 0.00812533
0.00823904 0.00817143 0.00817144
0.00828591 0.00821753 0.00821754
0.00833279 0.00826363 0.00826364
0.00837966 0.00830973 0.00830974
0.00842654 0.00835582 0.00835583
0.00847341 0.00840191 0.00840192
0.00852029 0.00844799 0.008448
0.00856717 0.00849407 0.00849408
0.00861404 0.00854015 0.00854016
0.00866092 0.00858622 0.00858623
0.0087078 0.00863229 0.0086323
0.00875467 0.00867835 0.00867836
0.00880155 0.00872441 0.00872442
0.00884843 0.00877047 0.00877048
0.00889531 0.00881652 0.00881653
0.00894219 0.00886257 0.00886258
0.00898907 0.00890861 0.00890863
0.00903595 0.00895465 0.00895467
0.00908283 0.00900069 0.0090007
0.00912971 0.00904672 0.00904674
0.00917659 0.00909275 0.00909276
0.00922347 0.00913878 0.00913879
0.00927035 0.0091848 0.00918481
0.00931723 0.00923081 0.00923083
0.00936412 0.00927683 0.00927684
0.009411 0.00932283 0.00932285
0.00945788 0.00936884 0.00936885
0.00950477 0.00941484 0.00941485
0.00955165 0.00946084 0.00946085
0.00959853 0.00950683 0.00950684
0.00964542 0.00955282 0.00955283
0.0096923 0.0095988 0.00959882
0.00973919 0.00964479 0.0096448
0.00978608 0.00969076 0.00969078
0.00983296 0.00973674 0.00973675
0.00987985 0.00978271 0.00978272
0.00992674 0.00982867 0.00982868
0.00997363 0.00987463 0.00987465
0.0100205 0.00992059 0.0099206
0.0100674 0.00996654 0.00996656
0.0101143 0.0100125 0.0100125
0.0101612 0.0100584 0.0100585
0.0102081 0.0101044 0.0101044
0.010255 0.0101503 0.0101503
0.0103019 0.0101963 0.0101963
0.0103487 0.0102422 0.0102422
0.0103956 0.0102881 0.0102881
0.0104425 0.010334 0.010334
0.0104894 0.01038 0.01038
0.0105363 0.0104259 0.0104259
0.0105832 0.0104718 0.0104718
0.0106301 0.0105177 0.0105177
0.010677 0.0105636 0.0105636
0.0107239 0.0106095 0.0106095
0.0107708 0.0106554 0.0106554
0.0108177 0.0107013 0.0107013
0.0108646 0.0107472 0.0107472
0.0109115 0.010793 0.0107931
0.0109584 0.0108389 0.0108389
0.0110053 0.0108848 0.0108848
0.0110522 0.0109307 0.0109307
0.0110991 0.0109765 0.0109766
0.011146 0.0110224 0.0110224
0.0111929 0.0110683 0.0110683
0.0112398 0.0111141 0.0111141
0.0112867 0.01116 0.01116
0.0113336 0.0112058 0.0112058
0.0113805 0.0112517 0.0112517
0.0114274 0.0112975 0.0112975
0.0114743 0.0113433 0.0113434
0.0115212 0.0113892 0.0113892
0.0115681 0.011435 0.011435
0.011615 0.0114808 0.0114808
0.0116619 0.0115266 0.0115267
0.0117088 0.0115725 0.0115725
0.0117557 0.0116183 0.0116183
0.0118026 0.0116641 0.0116641
0.0118495 0.0117099 0.0117099
0.0118964 0.0117557 0.0117557
0.0119433 0.0118015 0.0118015
0.0119902 0.0118473 0.0118473
0.0120371 0.0118931 0.0118931
0.012084 0.0119389 0.0119389
0.0121309 0.0119847 0.0119847
0.0121778 0.0120304 0.0120304
0.0122248 0.0120762 0.0120762
0.0122717 0.012122 0.012122
0.0123186 0.0121677 0.0121678
0.0123655 0.0122135 0.0122135
0.0124124 0.0122593 0.0122593
0.0124593 0.012305 0.012305
0.0125062 0.0123508 0.0123508
0.0125531 0.0123965 0.0123965
0.0126 0.0124423 0.0124423
0.012647 0.012488 0.012488
0.0126939 0.0125337 0.0125338
0.0127408 0.0125795 0.0125795
0.0127877 0.0126252 0.0126252
0.0128346 0.0126709 0.0126709
0.0128815 0.0127167 0.0127167
0.0129285 0.0127624 0.0127624
0.0129754 0.0128081 0.0128081
0.0130223 0.0128538 0.0128538
0.0130692 0.0128995 0.0128995
0.0131161 0.0129452 0.0129452
0.013163 0.0129909 0.0129909
0.01321 0.0130366 0.0130366
0.0132569 0.0130823 0.0130823
0.0133038 0.013128 0.013128
0.0133507 0.0131737 0.0131737
0.0133976 0.0132193 0.0132193
0.0134446 0.013265 0.013265
0.0134915 0.0133107 0.0133107
0.0135384 0.0133563 0.0133564
0.0135853 0.013402 0.013402
0.0136323 0.0134477 0.0134477
0.0136792 0.0134933 0.0134933
0.0137261 0.013539 0.013539
0.013773 0.0135846 0.0135846
0.01382 0.0136303 0.0136303
0.0138669 0.0136759 0.0136759
0.0139138 0.0137215 0.0137216
0.0139607 0.0137672 0.0137672
0.0140077 0.0138128 0.0138128
0.0140546 0.0138584 0.0138585
0.0141015 0.0139041 0.0139041
0.0141485 0.0139497 0.0139497
0.0141954 0.0139953 0.0139953
0.0142423 0.0140409 0.0140409
0.0142893 0.0140865 0.0140865
0.0143362 0.0141321 0.0141321
0.0143831 0.0141777 0.0141777
0.0144301 0.0142233 0.0142233
0.014477 0.0142689 0.0142689
0.0145239 0.0143145 0.0143145
0.0145709 0.0143601 0.0143601
0.0146178 0.0144056 0.0144057
0.0146647 0.0144512 0.0144512
0.0147117 0.0144968 0.0144968
0.0147586 0.0145424 0.0145424
0.0148055 0.0145879 0.0145879
0.0148525 0.0146335 0.0146335
0.0148994 0.014679 0.0146791
0.0149463 0.0147246 0.0147246
0.0149933 0.0147701 0.0147702
0.0150402 0.0148157 0.0148157
0.0150872 0.0148612 0.0148612
0.0151341 0.0149068 0.0149068
0.015181 0.0149523 0.0149523
0.015228 0.0149978 0.0149978
0.0152749 0.0150434 0.0150434
0.0153219 0.0150889 0.0150889
0.0153688 0.0151344 0.0151344
0.0154158 0.0151799 0.0151799
0.0154627 0.0152254 0.0152254
0.0155096 0.0152709 0.015271
0.0155566 0.0153164 0.0153165
0.0156035 0.0153619 0.015362
0.0156505 0.0154074 0.0154075
0.0156974 0.0154529 0.0154529
0.0157444 0.0154984 0.0154984
0.0157913 0.0155439 0.0155439
0.0158383 0.0155894 0.0155894
0.0158852 0.0156349 0.0156349
0.0159322 0.0156803 0.0156803
0.0159791 0.0157258 0.0157258
0.0160261 0.0157713 0.0157713
0.016073 0.0158167 0.0158167
0.01612 0.0158622 0.0158622
0.0161669 0.0159076 0.0159077
0.0162139 0.0159531 0.0159531
0.0162608 0.0159985 0.0159986
0.0163078 0.016044 0.016044
0.0163547 0.0160894 0.0160894
0.0164017 0.0161348 0.0161349
0.0164486 0.0161803 0.0161803
0.0164956 0.0162257 0.0162257
0.0165426 0.0162711 0.0162712
0.0165895 0.0163165 0.0163166
0.0166365 0.016362 0.016362
0.0166834 0.0164074 0.0164074
0.0167304 0.0164528 0.0164528
0.0167773 0.0164982 0.0164982
0.0168243 0.0165436 0.0165436
0.0168713 0.016589 0.016589
0.0169182 0.0166344 0.0166344
0.0169652 0.0166798 0.0166798
0.0170122 0.0167252 0.0167252
0.0170591 0.0167705 0.0167706
0.0171061 0.0168159 0.0168159
0.017153 0.0168613 0.0168613
0.0172 0.0169067 0.0169067
0.017247 0.016952 0.0169521
0.0172939 0.0169974 0.0169974
0.0173409 0.0170428 0.0170428
0.0173879 0.0170881 0.0170881
0.0174348 0.0171335 0.0171335
0.0174818 0.0171788 0.0171788
0.0175288 0.0172242 0.0172242
0.0175757 0.0172695 0.0172695
0.0176227 0.0173148 0.0173149
0.0176697 0.0173602 0.0173602
0.0177166 0.0174055 0.0174055
0.0177636 0.0174508 0.0174508
0.0178106 0.0174961 0.0174962
0.0178576 0.0175415 0.0175415
0.0179045 0.0175868 0.0175868
0.0179515 0.0176321 0.0176321
0.0179985 0.0176774 0.0176774
0.0180454 0.0177227 0.0177227
0.0180924 0.017768 0.017768
0.0181394 0.0178133 0.0178133
0.0181864 0.0178586 0.0178586
0.0182333 0.0179039 0.0179039
0.0182803 0.0179492 0.0179492
0.0183273 0.0179944 0.0179945
0.0183743 0.0180397 0.0180397
0.0184213 0.018085 0.018085
0.0184682 0.0181303 0.0181303
0.0185152 0.0181755 0.0181755
0.0185622 0.0182208 0.0182208
0.0186092 0.018266 0.0182661
0.0186561 0.0183113 0.0183113
0.0187031 0.0183565 0.0183566
0.0187501 0.0184018 0.0184018
0.0187971 0.018447 0.0184471
0.0188441 0.0184923 0.0184923
0.0188911 0.0185375 0.0185375
0.018938 0.0185827 0.0185828
0.018985 0.018628 0.018628
0.019032 0.0186732 0.0186732
0.019079 0.0187184 0.0187184
0.019126 0.0187636 0.0187637
0.019173 0.0188088 0.0188089
0.01922 0.0188541 0.0188541
0.0192669 0.0188993 0.0188993
0.0193139 0.0189445 0.0189445
0.0193609 0.0189897 0.0189897
0.0194079 0.0190349 0.0190349
0.0194549 0.01908 0.0190801
0.0195019 0.0191252 0.0191253
0.0195489 0.0191704 0.0191704
0.0195959 0.0192156 0.0192156
0.0196429 0.0192608 0.0192608
0.0196899 0.0193059 0.019306
0.0197369 0.0193511 0.0193511
0.0197839 0.0193963 0.0193963
0.0198308 0.0194414 0.0194415
0.0198778 0.0194866 0.0194866
0.0199248 0.0195317 0.0195318
0.0199718 0.0195769 0.0195769
0.0200188 0.019622 0.0196221
0.0200658 0.0196672 0.0196672
0.0201128 0.0197123 0.0197123
0.0201598 0.0197574 0.0197575
0.0202068 0.0198026 0.0198026
0.0202538 0.0198477 0.0198477
0.0203008 0.0198928 0.0198929
0.0203478 0.0199379 0.019938
0.0203948 0.0199831 0.0199831
0.0204418 0.0200282 0.0200282
0.0204888 0.0200733 0.0200733
0.0205358 0.0201184 0.0201184
0.0205828 0.0201635 0.0201635
0.0206298 0.0202086 0.0202086
0.0206768 0.0202537 0.0202537
0.0207238 0.0202988 0.0202988
0.0207709 0.0203438 0.0203439
0.0208179 0.0203889 0.020389
0.0208649 0.020434 0.020434
0.0209119 0.0204791 0.0204791
0.0209589 0.0205242 0.0205242
0.0210059 0.0205692 0.0205692
0.0210529 0.0206143 0.0206143
0.0210999 0.0206593 0.0206594
0.0211469 0.0207044 0.0207044
0.0211939 0.0207494 0.0207495
0.0212409 0.0207945 0.0207945
0.021288 0.0208395 0.0208396
0.021335 0.0208846 0.0208846
0.021382 0.0209296 0.0209296
0.021429 0.0209746 0.0209747
0.021476 0.0210197 0.0210197
0.021523 0.0210647 0.0210647
0.02157 0.0211097 0.0211098
0.0216171 0.0211547 0.0211548
0.0216641 0.0211998 0.0211998
0.0217111 0.0212448 0.0212448
0.0217581 0.0212898 0.0212898
0.0218051 0.0213348 0.0213348
0.0218521 0.0213798 0.0213798
0.0218992 0.0214248 0.0214248
0.0219462 0.0214698 0.0214698
0.0219932 0.0215148 0.0215148
0.0220402 0.0215597 0.0215598
0.0220872 0.0216047 0.0216048
0.0221343 0.0216497 0.0216497
0.0221813 0.0216947 0.0216947
0.0222283 0.0217396 0.0217397
0.0222753 0.0217846 0.0217846
0.0223224 0.0218296 0.0218296
0.0223694 0.0218745 0.0218746
0.0224164 0.0219195 0.0219195
0.0224634 0.0219644 0.0219645
0.0225105 0.0220094 0.0220094
0.0225575 0.0220543 0.0220544
0.0226045 0.0220993 0.0220993
0.0226516 0.0221442 0.0221442
0.0226986 0.0221891 0.0221892
0.0227456 0.0222341 0.0222341
0.0227926 0.022279 0.022279
0.0228397 0.0223239 0.0223239
0.0228867 0.0223688 0.0223689
0.0229337 0.0224137 0.0224138
0.0229808 0.0224586 0.0224587
0.0230278 0.0225035 0.0225036
0.0230748 0.0225485 0.0225485
0.0231219 0.0225934 0.0225934
0.0231689 0.0226382 0.0226383
0.0232159 0.0226831 0.0226832
0.023263 0.022728 0.0227281
0.02331 0.0227729 0.0227729
0.0233571 0.0228178 0.0228178
0.0234041 0.0228627 0.0228627
0.0234511 0.0229075 0.0229076
0.0234982 0.0229524 0.0229524
0.0235452 0.0229973 0.0229973
0.0235922 0.0230421 0.0230422
0.0236393 0.023087 0.023087
0.0236863 0.0231318 0.0231319
0.0237334 0.0231767 0.0231767
0.0237804 0.0232215 0.0232216
0.0238275 0.0232664 0.0232664
0.0238745 0.0233112 0.0233113
0.0239215 0.0233561 0.0233561
0.0239686 0.0234009 0.0234009
0.0240156 0.0234457 0.0234458
0.0240627 0.0234905 0.0234906
0.0241097 0.0235354 0.0235354
0.0241568 0.0235802 0.0235802
0.0242038 0.023625 0.023625
0.0242509 0.0236698 0.0236698
0.0242979 0.0237146 0.0237146
0.024345 0.0237594 0.0237594
0.024392 0.0238042 0.0238042
0.0244391 0.023849 0.023849
0.0244861 0.0238938 0.0238938
0.0245332 0.0239386 0.0239386
0.0245802 0.0239834 0.0239834
0.0246273 0.0240281 0.0240282
0.0246743 0.0240729 0.024073
0.0247214 0.0241177 0.0241177
0.0247684 0.0241625 0.0241625
0.0248155 0.0242072 0.0242073
0.0248625 0.024252 0.024252
0.0249096 0.0242967 0.0242968
0.0249567 0.0243415 0.0243415
0.0250037 0.0243862 0.0243863
0.0250508 0.024431 0.024431
0.0250978 0.0244757 0.0244758
0.0251449 0.0245205 0.0245205
0.025192 0.0245652 0.0245652
0.025239 0.0246099 0.02461
0.0252861 0.0246547 0.0246547
0.0253331 0.0246994 0.0246994
0.0253802 0.0247441 0.0247442
0.0254273 0.0247888 0.0247889
0.0254743 0.0248335 0.0248336
0.0255214 0.0248783 0.0248783
0.0255685 0.024923 0.024923
0.0256155 0.0249677 0.0249677
0.0256626 0.0250124 0.0250124
0.0257097 0.0250571 0.0250571
0.0257567 0.0251017 0.0251018
0.0258038 0.0251464 0.0251465
0.0258509 0.0251911 0.0251912
0.0258979 0.0252358 0.0252358
0.025945 0.0252805 0.0252805
0.0259921 0.0253251 0.0253252
0.0260391 0.0253698 0.0253699
0.0260862 0.0254145 0.0254145
0.0261333 0.0254591 0.0254592
0.0261804 0.0255038 0.0255038
0.0262274 0.0255485 0.0255485
0.0262745 0.0255931 0.0255931
0.0263216 0.0256377 0.0256378
0.0263686 0.0256824 0.0256824
0.0264157 0.025727 0.0257271
0.0264628 0.0257717 0.0257717
0.0265099 0.0258163 0.0258163
0.026557 0.0258609 0.025861
0.026604 0.0259055 0.0259056
0.0266511 0.0259502 0.0259502
0.0266982 0.0259948 0.0259948
0.0267453 0.0260394 0.0260394
0.0267923 0.026084 0.026084
0.0268394 0.0261286 0.0261287
0.0268865 0.0261732 0.0261733
0.0269336 0.0262178 0.0262179
0.0269807 0.0262624 0.0262624
0.0270278 0.026307 0.026307
0.0270748 0.0263516 0.0263516
0.0271219 0.0263962 0.0263962
0.027169 0.0264407 0.0264408
0.0272161 0.0264853 0.0264854
0.0272632 0.0265299 0.0265299
0.0273103 0.0265745 0.0265745
0.0273573 0.026619 0.0266191
0.0274044 0.0266636 0.0266636
0.0274515 0.0267081 0.0267082
0.0274986 0.0267527 0.0267527
0.0275457 0.0267973 0.0267973
0.0275928 0.0268418 0.0268418
0.0276399 0.0268863 0.0268864
0.027687 0.0269309 0.0269309
0.0277341 0.0269754 0.0269755
0.0277812 0.0270199 0.02702
0.0278283 0.0270645 0.0270645
0.0278753 0.027109 0.027109
0.0279224 0.0271535 0.0271536
0.0279695 0.027198 0.0271981
0.0280166 0.0272426 0.0272426
0.0280637 0.0272871 0.0272871
0.0281108 0.0273316 0.0273316
0.0281579 0.0273761 0.0273761
0.028205 0.0274206 0.0274206
0.0282521 0.0274651 0.0274651
0.0282992 0.0275096 0.0275096
0.0283463 0.027554 0.0275541
0.0283934 0.0275985 0.0275986
0.0284405 0.027643 0.027643
0.0284876 0.0276875 0.0276875
0.0285347 0.027732 0.027732
0.0285818 0.0277764 0.0277765
0.0286289 0.0278209 0.0278209
0.028676 0.0278654 0.0278654
0.0287231 0.0279098 0.0279099
0.0287702 0.0279543 0.0279543
0.0288173 0.0279987 0.0279988
0.0288645 0.0280432 0.0280432
0.0289116 0.0280876 0.0280876
0.0289587 0.028132 0.0281321
0.0290058 0.0281765 0.0281765
0.0290529 0.0282209 0.028221
0.0291 0.0282653 0.0282654
0.0291471 0.0283098 0.0283098
0.0291942 0.0283542 0.0283542
0.0292413 0.0283986 0.0283986
0.0292884 0.028443 0.0284431
0.0293355 0.0284874 0.0284875
0.0293827 0.0285318 0.0285319
0.0294298 0.0285762 0.0285763
0.0294769 0.0286206 0.0286207
0.029524 0.028665 0.0286651
0.0295711 0.0287094 0.0287095
0.0296182 0.0287538 0.0287539
0.0296653 0.0287982 0.0287982
0.0297125 0.0288426 0.0288426
0.0297596 0.028887 0.028887
0.0298067 0.0289313 0.0289314
0.0298538 0.0289757 0.0289757
0.0299009 0.0290201 0.0290201
0.0299481 0.0290644 0.0290645
0.0299952 0.0291088 0.0291088
0.0300423 0.0291531 0.0291532
0.0300894 0.0291975 0.0291975
0.0301365 0.0292418 0.0292419
0.0301837 0.0292862 0.0292862
0.0302308 0.0293305 0.0293306
0.0302779 0.0293749 0.0293749
0.030325 0.0294192 0.0294192
0.0303722 0.0294635 0.0294636
0.0304193 0.0295078 0.0295079
0.0304664 0.0295522 0.0295522
0.0305135 0.0295965 0.0295965
0.0305607 0.0296408 0.0296408
0.0306078 0.0296851 0.0296852
0.0306549 0.0297294 0.0297295
0.0307021 0.0297737 0.0297738
0.0307492 0.029818 0.0298181
0.0307963 0.0298623 0.0298624
0.0308435 0.0299066 0.0299067
0.0308906 0.0299509 0.0299509
0.0309377 0.0299952 0.0299952
0.0309849 0.0300395 0.0300395
0.031032 0.0300837 0.0300838
0.0310791 0.030128 0.0301281
0.0311263 0.0301723 0.0301723
0.0311734 0.0302166 0.0302166
0.0312205 0.0302608 0.0302609
0.0312677 0.0303051 0.0303051
0.0313148 0.0303493 0.0303494
0.0313619 0.0303936 0.0303936
0.0314091 0.0304378 0.0304379
0.0314562 0.0304821 0.0304821
0.0315034 0.0305263 0.0305264
0.0315505 0.0305706 0.0305706
0.0315976 0.0306148 0.0306148
0.0316448 0.030659 0.0306591
0.0316919 0.0307032 0.0307033
0.0317391 0.0307475 0.0307475
0.0317862 0.0307917 0.0307917
0.0318334 0.0308359 0.030836
0.0318805 0.0308801 0.0308802
0.0319276 0.0309243 0.0309244
0.0319748 0.0309685 0.0309686
0.0320219 0.0310127 0.0310128
0.0320691 0.0310569 0.031057
0.0321162 0.0311011 0.0311012
0.0321634 0.0311453 0.0311454
0.0322105 0.0311895 0.0311895
0.0322577 0.0312337 0.0312337
0.0323048 0.0312779 0.0312779
0.032352 0.031322 0.0313221
0.0323991 0.0313662 0.0313663
0.0324463 0.0314104 0.0314104
0.0324934 0.0314545 0.0314546
0.0325406 0.0314987 0.0314987
0.0325877 0.0315429 0.0315429
0.0326349 0.031587 0.0315871
0.0326821 0.0316312 0.0316312
0.0327292 0.0316753 0.0316753
0.0327764 0.0317194 0.0317195
0.0328235 0.0317636 0.0317636
0.0328707 0.0318077 0.0318078
0.0329178 0.0318518 0.0318519
0.032965 0.031896 0.031896
0.0330122 0.0319401 0.0319401
0.0330593 0.0319842 0.0319843
0.0331065 0.0320283 0.0320284
0.0331536 0.0320725 0.0320725
0.0332008 0.0321166 0.0321166
0.033248 0.0321607 0.0321607
0.0332951 0.0322048 0.0322048
0.0333423 0.0322489 0.0322489
0.0333895 0.032293 0.032293
0.0334366 0.0323371 0.0323371
0.0334838 0.0323811 0.0323812
0.033531 0.0324252 0.0324253
0.0335781 0.0324693 0.0324694
0.0336253 0.0325134 0.0325134
0.0336725 0.0325575 0.0325575
0.0337196 0.0326015 0.0326016
0.0337668 0.0326456 0.0326456
0.033814 0.0326896 0.0326897
0.0338611 0.0327337 0.0327338
0.0339083 0.0327778 0.0327778
0.0339555 0.0328218 0.0328219
0.0340027 0.0328659 0.0328659
0.0340498 0.0329099 0.0329099
0.034097 0.0329539 0.032954
0.0341442 0.032998 0.032998
0.0341913 0.033042 0.0330421
0.0342385 0.033086 0.0330861
0.0342857 0.0331301 0.0331301
0.0343329 0.0331741 0.0331741
0.0343801 0.0332181 0.0332182
0.0344272 0.0332621 0.0332622
0.0344744 0.0333061 0.0333062
0.0345216 0.0333501 0.0333502
0.0345688 0.0333941 0.0333942
0.0346159 0.0334381 0.0334382
0.0346631 0.0334821 0.0334822
0.0347103 0.0335261 0.0335262
0.0347575 0.0335701 0.0335702
0.0348047 0.0336141 0.0336141
0.0348519 0.0336581 0.0336581
0.034899 0.0337021 0.0337021
0.0349462 0.033746 0.0337461
0.0349934 0.03379 0.0337901
0.0350406 0.033834 0.033834
0.0350878 0.0338779 0.033878
0.035135 0.0339219 0.0339219
0.0351822 0.0339658 0.0339659
0.0352294 0.0340098 0.0340099
0.0352765 0.0340537 0.0340538
0.0353237 0.0340977 0.0340977
0.0353709 0.0341416 0.0341417
0.0354181 0.0341856 0.0341856
0.0354653 0.0342295 0.0342296
0.0355125 0.0342734 0.0342735
0.0355597 0.0343174 0.0343174
0.0356069 0.0343613 0.0343613
0.0356541 0.0344052 0.0344053
0.0357013 0.0344491 0.0344492
0.0357485 0.034493 0.0344931
0.0357957 0.0345369 0.034537
0.0358429 0.0345808 0.0345809
0.0358901 0.0346247 0.0346248
0.0359373 0.0346686 0.0346687
0.0359845 0.0347125 0.0347126
0.0360316 0.0347564 0.0347565
0.0360788 0.0348003 0.0348004
0.036126 0.0348442 0.0348443
0.0361732 0.0348881 0.0348881
0.0362205 0.034932 0.034932
0.0362677 0.0349758 0.0349759
0.0363149 0.0350197 0.0350197
0.0363621 0.0350636 0.0350636
0.0364093 0.0351074 0.0351075
0.0364565 0.0351513 0.0351513
0.0365037 0.0351951 0.0351952
0.0365509 0.035239 0.035239
0.0365981 0.0352828 0.0352829
0.0366453 0.0353267 0.0353267
0.0366925 0.0353705 0.0353706
0.0367397 0.0354143 0.0354144
0.0367869 0.0354582 0.0354582
0.0368341 0.035502 0.0355021
0.0368813 0.0355458 0.0355459
0.0369285 0.0355897 0.0355897
0.0369758 0.0356335 0.0356335
0.037023 0.0356773 0.0356773
0.0370702 0.0357211 0.0357211
0.0371174 0.0357649 0.035765
0.0371646 0.0358087 0.0358088
0.0372118 0.0358525 0.0358526
0.037259 0.0358963 0.0358963
0.0373063 0.0359401 0.0359401
0.0373535 0.0359839 0.0359839
0.0374007 0.0360277 0.0360277
0.0374479 0.0360714 0.0360715
0.0374951 0.0361152 0.0361153
0.0375423 0.036159 0.036159
0.0375896 0.0362028 0.0362028
0.0376368 0.0362465 0.0362466
0.037684 0.0362903 0.0362903
0.0377312 0.0363341 0.0363341
0.0377785 0.0363778 0.0363779
0.0378257 0.0364216 0.0364216
0.0378729 0.0364653 0.0364654
0.0379201 0.0365091 0.0365091
